city,state,country,population,zip_code
Baghdad,Baghdad,Iraq,6183000,73704
Maoming,Guangdong,China,6174050,96779
Miami,Florida,United States,6113982,49099
Xinyang,Henan,China,6109106,18571
Houston,Texas,United States,6046392,48044
Singapore,Singapore,Singapore,5983000,61214
Prayagraj,Uttar Pradesh,India,5954391,71228
Huanggang,Hubei,China,5882719,58984
Dalian,Liaoning,China,5871474,50774
Ankara,Ankara,Turkey,5864049,12568
Dallas,Texas,United States,5843632,72592
Qingdao,Shandong,China,5818255,77563
Yulin,Guangxi,China,5796766,12695
Liaocheng,Shandong,China,5789863,58190
Douala,Littoral,Cameroon,5768400,15258
Qujing,Yunnan,China,5765775,97538
Nangandao,Henan,China,5708191,49504
Addis Ababa,Adis Abeba,Ethiopia,5704000,43159
Philadelphia,Pennsylvania,United States,5696588,23986
Toronto,Ontario,Canada,5647656,71858
Zhengzhou,Henan,China,5621593,22666
Nanchong,Sichuan,China,5607565,48660
Jinan,Shandong,China,5606374,13561
Giza,Al Jizah,Egypt,5598402,36854
Saint Petersburg,Sankt-Peterburg,Russia,5597763,74505
Jieyang,Guangdong,China,5577814,62251
Dezhou,Shandong,China,5568235,32662
Nairobi,Nairobi City,Kenya,5545000,18392
Guadalajara,Jalisco,Mexico,5525000,40535
Tai'an,Shandong,China,5472217,88603
Dazhou,Sichuan,China,5385422,62256
Belo Horizonte,Minas Gerais,Brazil,5328000,99135
Suzhou,Anhui,China,5324476,45222
Monterrey,Nuevo Leon,Mexico,5324281,87373
Yongzhou,Hunan,China,5289824,89575
Changde,Hunan,China,5279102,94651
Xiangyang,Hubei,China,5260951,73335
Atlanta,Georgia,United States,5211164,20965
Pudong,Shanghai,China,5187200,34538
Washington,District of Columbia,United States,5146120,80592
Zhaotong,Yunnan,China,5092611,18110
Zhangzhou,Fujian,China,5054328,89309
Yueyang,Hunan,China,5051922,37266
Melbourne,Victoria,Australia,5031195,62992
Yichun,Jiangxi,China,5007702,92948
Abidjan,Abidjan,Côte d’Ivoire,4980000,16910
Guilin,Guangxi,China,4931137,10206
Pingdingshan,Henan,China,4904701,97054
Alexandria,Al Iskandariyah,Egypt,4870000,97897
Bozhou,Anhui,China,4850657,33419
Sydney,New South Wales,Australia,4840600,60636
Barcelona,Catalonia,Spain,4800000,60015
Yuncheng,Shanxi,China,4774508,64268
Cape Town,Western Cape,South Africa,4770313,97939
Changsha,Hunan,China,4766296,28141
Suqian,Jiangsu,China,4719178,90356
Jeddah,Makkah al Mukarramah,Saudi Arabia,4697000,81910
Weinan,Shaanxi,China,4688744,66044
Berlin,Berlin,Germany,4679500,77214
Chenzhou,Hunan,China,4667134,43827
Jiangmen,Guangdong,China,4630300,65820
Mianyang,Sichuan,China,4613862,72623
Jiujiang,Jiangxi,China,4600276,91734
Huaihua,Hunan,China,4587594,85450
Huanglongsi,Henan,China,4564900,32299
Taizhou,Jiangsu,China,4512762,53585
Belahi,Bihar,India,4487379,74044
Yibin,Sichuan,China,4471896,52557
Ji'an,Jiangxi,China,4469176,59080
Yangzhou,Jiangsu,China,4459760,12693
Kunming,Yunnan,China,4422686,79163
Changchun,Jilin,China,4408154,35939
Lu'an,Anhui,China,4393699,58925
Xinpu,Jiangsu,China,4393482,52941
Langfang,Hebei,China,4358839,31834
Boston,Massachusetts,United States,4355184,28047
Urumqi,Xinjiang,China,4335017,36105
Suzhou,Jiangsu,China,4330000,85766
Guigang,Guangxi,China,4316262,25707
Shantou,Guangdong,China,4312192,31976
Jiangguanchi,Henan,China,4307488,54262
Kabul,Kabul,Afghanistan,4273156,33776
Xiaoganzhan,Hubei,China,4270371,40080
Bamako,Bamako,Mali,4227569,76842
Kano,Kano,Nigeria,4224966,71373
Luzhou,Sichuan,China,4218427,16776
Hefei,Anhui,China,4216940,65016
Hengshui,Hebei,China,4212933,19474
Fortaleza,Ceara,Brazil,4167996,68053
Anqing,Anhui,China,4165284,31959
Zhangjiakou,Hebei,China,4118908,15530
Zhaoqing,Guangdong,China,4113594,13748
Shijiazhuang,Hebei,China,4098243,23545
Ningbo,Zhejiang,China,4087523,76199
Qiqihar,Heilongjiang,China,4067489,44766
Phoenix,Arizona,United States,4065338,83530
Liuzhou,Guangxi,China,4041700,71087
Chifeng,Inner Mongolia,China,4035967,78840
Xiaoxita,Hubei,China,4017607,64384
Amman,Al Asimah,Jordan,4007526,61005
Linfen,Shanxi,China,3976481,56576
Xianyang,Shaanxi,China,3959842,49353
Chuzhou,Anhui,China,3937868,72003
Kumasi,Ashanti,Ghana,3903480,93211
Zhuzhou,Hunan,China,3902738,62733
Taiyuan,Shanxi,China,3875053,75318
Qingyuan,Guangdong,China,3874000,99474
Meizhou,Guangdong,China,3873239,33664
Yiyang,Hunan,China,3851564,77172
Nanning,Guangxi,China,3837978,95616
Harbin,Heilongjiang,China,3830000,36736
Loudi,Hunan,China,3826996,10854
Abuja,Federal Capital Territory,Nigeria,3770000,48623
Yokohama,Kanagawa,Japan,3757630,17392
Suihua,Heilongjiang,China,3756167,65680
Binzhou,Shandong,China,3748474,56717
Zaozhuang,Shandong,China,3729140,97092
Detroit,Michigan,United States,3716929,60859
Xiamen,Fujian,China,3707090,36309
Mashhad,Khorasan-e Razavi,Iran,3700000,97455
Montreal,Quebec,Canada,3675219,73734
Fuzhou,Fujian,China,3671192,80467
Wuhu,Anhui,China,3644420,62662
Medan,Sumatera Utara,Indonesia,3632000,22688
Yulinshi,Shaanxi,China,3624750,35342
Fuzhou,Jiangxi,China,3614866,47157
Wenzhou,Zhejiang,China,3604446,77863
Changzhou,Jiangsu,China,3601079,62083
Puyang,Henan,China,3598740,75733
Nanchang,Jiangxi,China,3576547,99045
Baicheng,Guangxi,China,3571505,44698
Seattle,Washington,United States,3555253,90623
Ibadan,Oyo,Nigeria,3552000,32671
Jiaozuo,Henan,China,3521078,35184
Nadampalaiyam,Tamil Nadu,India,3458045,52107
Deyang,Sichuan,China,3456161,96202
Busan,Busan,"Korea, South",3453198,61663
Hechi,Guangxi,China,3417945,25708
Tangshan,Hebei,China,3399231,59811
Lucknow,Uttar Pradesh,India,3382000,12811
San Francisco,California,United States,3364862,66250
Boankra,Ashanti,Ghana,3348000,82082
Dubai,Dubayy,United Arab Emirates,3331420,44754
Anshan,Liaoning,China,3325372,21411
Guozhen,Shaanxi,China,3321853,12911
Baojishi,Shaanxi,China,3321853,77270
Qinzhou,Guangxi,China,3302238,93763
Guiyang,Guizhou,China,3299724,18680
Wuxi,Jiangsu,China,3245179,94896
Kannankulam,Kerala,India,3243170,93879
Caracas,Distrito Capital,Venezuela,3242000,81295
Kotla Qasim Khan,Punjab,Pakistan,3219375,98614
Casablanca,Casablanca-Settat,Morocco,3215935,21111
Hanzhong,Shaanxi,China,3211462,47504
Shiyan,Hubei,China,3209004,11802
Guang'an,Sichuan,China,3205476,18155
Faisalabad,Punjab,Pakistan,3203846,83656
Changzhi,Shanxi,China,3180884,49384
Tongren,Guizhou,China,3168800,57254
Bengbu,Anhui,China,3164467,31918
Leshan,Sichuan,China,3160168,95981
Santa Cruz de la Sierra,Santa Cruz,Bolivia,3151676,70713
Neijiang,Sichuan,China,3140678,40306
Zhenjiang,Jiangsu,China,3113384,26646
Qinhuangdao,Hebei,China,3107400,56843
Bursa,Bursa,Turkey,3101833,26371
Tashkent,Toshkent,Uzbekistan,3095498,87371
Guayaquil,Guayas,Ecuador,3094420,12049
Jaipur,Rajasthan,India,3073350,41616
Lanzhou,Gansu,China,3067141,30932
Ouagadougou,Centre,Burkina Faso,3063271,39855
Athens,Attiki,Greece,3059764,71434
San Diego,California,United States,3057778,82694
Guatemala City,Guatemala,Guatemala,3014000,53016
Kuwait City,Al Asimah,Kuwait,2989000,17400
Qincheng,Gansu,China,2984659,52642
Izmir,Izmir,Turkey,2965900,25151
Quezon City,Quezon,Philippines,2960048,61407
Kyiv,"Kyiv, Misto",Ukraine,2952301,76690
Kottarassheri,Kerala,India,2952254,14499
Meishan,Sichuan,China,2950545,16295
Incheon,Incheon,"Korea, South",2936117,69040
Ningde,Fujian,China,2910000,22183
Zhongshan,Guangdong,China,2909633,39299
Minneapolis,Minnesota,United States,2906807,22874
Tampa,Florida,United States,2906035,42711
Putian,Fujian,China,2900000,15539
Mbuji-Mayi,Kasai Oriental,Congo (Kinshasa),2892000,63351
Tongliao,Inner Mongolia,China,2873168,71267
Chaoyang,Liaoning,China,2872857,58354
Hohhot,Inner Mongolia,China,2866615,12557
Pyongyang,Pyongyang,"Korea, North",2863000,48360
Shaoguan,Guangdong,China,2855131,92018
Taichung,Taichung,Taiwan,2850285,12200
Cali,Valle del Cauca,Colombia,2838333,78497
Heyuan,Guangdong,China,2837686,56975
Wuzhou,Guangxi,China,2820977,31357
Pretoria,Gauteng,South Africa,2818100,87505
Suining,Sichuan,China,2814196,12869
Omdurman,Khartoum,Sudan,2805396,71135
Weihai,Shandong,China,2804771,60108
Rizhao,Shandong,China,2801013,48467
Malang,Jawa Timur,Indonesia,2795209,33328
Stuttgart,Baden-Wurttemberg,Germany,2787724,96831
Daqing,Heilongjiang,China,2781562,13987
Rome,Lazio,Italy,2748109,68871
Kaohsiung,Kaohsiung,Taiwan,2737660,32399
Brooklyn,New York,United States,2736074,56214
Xiangtan,Hunan,China,2726181,96416
Bazhou,Sichuan,China,2712894,80271
Handan,Hebei,China,2708015,54064
Brisbane,Queensland,Australia,2706966,80091
Jinzhou,Liaoning,China,2703853,50818
Denver,Colorado,United States,2691349,55525
Xinzhou,Shanxi,China,2689668,29830
Nanping,Fujian,China,2680645,27429
Gazipura,Dhaka,Bangladesh,2674697,16893
Shanwei,Guangdong,China,2672819,89909
Maracaibo,Zulia,Venezuela,2658355,57333
Chaozhou,Guangdong,China,2656600,13436
Baotou,Inner Mongolia,China,2650364,84290
Longyan,Fujian,China,2640000,86213
Weifang,Shandong,China,2636154,15895
Huai'an,Jiangsu,China,2632788,29738
Zibo,Shandong,China,2631647,40746
Attadappa,Kerala,India,2615266,59377
Munich,Bavaria,Germany,2606021,58404
Gulou,Fujian,China,2606000,64045
Birmingham,Birmingham,United Kingdom,2590363,49790
Valencia,Carabobo,Venezuela,2585202,15600
Damascus,Dimashq,Syria,2584771,50764
Chattogram,Chattogram,Bangladesh,2581643,84543
Brazzaville,Brazzaville,Congo (Brazzaville),2557100,55714
Yangjiang,Guangdong,China,2555600,66835
Sanaa,Amanat al Asimah,Yemen,2545000,83744
Barmhan Kalan,Madhya Pradesh,India,2537000,66491
Medellin,Antioquia,Colombia,2529403,28589
Dingxi,Gansu,China,2524097,53484
Shaoxing,Zhejiang,China,2521964,92989
Yantai,Shandong,China,2511053,46212
Huizhou,Guangdong,China,2509243,53525
Xuanzhou,Anhui,China,2500063,57202
Mirzapur,Uttar Pradesh,India,2496970,42635
Hamburg,Hamburg,Germany,2496600,73208
Taipei,Taipei,Taiwan,2494813,43828
Ankang,Shaanxi,China,2493436,28711
Zigong,Sichuan,China,2489256,13420
Sanming,Fujian,China,2486450,10301
Toluca,Mexico,Mexico,2476689,55236
Huangshi,Hubei,China,2469079,76235
Yaounde,Centre,Cameroon,2440462,64240
Zhuhai,Guangdong,China,2439585,75726
Huludao,Liaoning,China,2434194,20492
Baoshan,Yunnan,China,2431211,16102
Mecca,Makkah al Mukarramah,Saudi Arabia,2427924,60336
Vancouver,British Columbia,Canada,2426160,95314
Lianshan,Liaoning,China,2426000,36641
Beirut,Beyrouth,Lebanon,2421354,44584
Salvador,Bahia,Brazil,2417678,42745
Bucharest,Bucuresti,Romania,2412530,33093
Longba,Gansu,China,2407272,76105
Nagpur,Maharashtra,India,2405665,61885
Queens,New York,United States,2405464,46631
Tieling,Liaoning,China,2388294,82991
Yunfu,Guangdong,China,2383350,14014
Bekasi,Jawa Barat,Indonesia,2381053,21093
Daegu,Daegu,"Korea, South",2376044,28070
Ghaziabad,Uttar Pradesh,India,2375820,45777
Luoyang,Henan,China,2372571,66958
Luohe,Henan,China,2367490,92074
Algiers,Alger,Algeria,2364230,20729
Anshun,Guizhou,China,2353100,55017
Huainan,Anhui,China,2333896,76320
Depok,Jawa Barat,Indonesia,2330333,37751
Konya,Konya,Turkey,2320241,88069
Haiphong,Hai Phong,Vietnam,2310280,64748
Yanjiang,Sichuan,China,2308631,15801
Guangyuan,Sichuan,China,2305657,29190
Baku,Bak,Azerbaijan,2300500,59689
Yingkou,Liaoning,China,2296540,60993
Mudanjiang,Heilongjiang,China,2290208,39592
Riverside,California,United States,2288508,20647
Fukuoka,Fukuoka,Japan,2286000,18716
Nantong,Jiangsu,China,2261382,98891
Lincang,Yunnan,China,2257991,97545
Las Vegas,Nevada,United States,2256509,99912
Haikou,Hainan,China,2250000,80316
Yuxi,Yunnan,China,2249502,12368
Tangerang,Jawa Barat,Indonesia,2237006,87575
Supaul,Bihar,India,2229076,16655
Almaty,Almaty,Kazakhstan,2228675,80031
Vienna,Wien,Austria,2223236,86429
Esfahan,Esfahan,Iran,2219343,97922
Xining,Qinghai,China,2208708,65766
Jincheng,Shanxi,China,2194545,23403
Baltimore,Maryland,United States,2189589,42097
Dandong,Liaoning,China,2188436,88657
Yan'an,Shaanxi,China,2187009,20966
Qinbaling,Gansu,China,2179716,62921
Gaoping,Sichuan,China,2174000,59726
Awka,Anambra,Nigeria,2171900,60300
Taizhou,Zhejiang,China,2162461,32677
Ma'anshan,Anhui,China,2159930,65609
Jiamusi,Heilongjiang,China,2156505,66661
Perth,Western Australia,Australia,2141834,41024
Gaziantep,Gaziantep,Turkey,2130432,80313
Phnom Penh,Phnom Penh,Cambodia,2129371,63006
St. Louis,Missouri,United States,2127843,25338
Mogadishu,Banaadir,Somalia,2120000,78027
Lishui,Zhejiang,China,2116957,90135
Kowloon,Hong Kong,Hong Kong,2108419,29508
Cordoba,Cordoba,Argentina,2106734,13051
Zamboanga City,Zamboanga,Philippines,2100000,58747
Rawalpindi,Punjab,Pakistan,2098231,97142
Havana,La Habana,Cuba,2089532,97235
Chongzuo,Guangxi,China,2088692,64021
Portland,Oregon,United States,2084045,76412
Laibin,Guangxi,China,2074611,68335
San Antonio,Texas,United States,2069843,66179
Vadodara,Gujarat,India,2065771,42093
Qingyang,Fujian,China,2061600,79678
Rajkot,Gujarat,India,2043000,90738
Shangzhou,Shaanxi,China,2041231,49734
Vishakhapatnam,Andhra Pradesh,India,2035922,82615
Shengli,Shandong,China,2035338,83523
Sanmenxia,Henan,China,2034872,27019
Warsaw,Mazowieckie,Poland,2028000,93613
Gujranwala,Punjab,Pakistan,2027001,96672
Hezhou,Guangxi,China,2007858,83847
Aleppo,Halab,Syria,2003671,92750
Tijuana,Baja California,Mexico,2002000,89634
Puning,Guangdong,China,1998619,38251
Indore,Madhya Pradesh,India,1994397,35945
Minsk,Minsk,Belarus,1992862,42217
Karaj,Alborz,Iran,1973470,18308
Kananga,Kasai Central,Congo (Kinshasa),1971704,15949
Huaibei,Anhui,China,1970265,61990
Peshawar,Khyber Pakhtunkhwa,Pakistan,1970042,11150
Sacramento,California,United States,1962998,99480
Sapporo,Hokkaido,Japan,1959313,84740
Tilburg,Noord-Brabant,Netherlands,1944588,76617
Austin,Texas,United States,1915031,26896
Orlando,Florida,United States,1913597,56175
Davao,Davao,Philippines,1910167,17805
Songjiang,Shanghai,China,1909713,15237
Yinchuan,Ningxia,China,1901793,30056
Abhepur,Haryana,India,1895686,55543
Thane,Maharashtra,India,1886941,66556
Multan,Punjab,Pakistan,1871843,13343
Port Harcourt,Rivers,Nigeria,1865000,23500
Fushun,Liaoning,China,1861372,63222
Tainan,Tainan,Taiwan,1856642,39375
Pingliang,Gansu,China,1848607,19662
Siping,Jilin,China,1814733,26964
San Juan,Puerto Rico,Puerto Rico,1809800,69638
Pingxiang,Jiangxi,China,1804805,83666
Bhopal,Madhya Pradesh,India,1798218,95067
Mosul,Ninawa,Iraq,1792000,77215
Diyarbakir,Diyarbakr,Turkey,1791373,79042
Lubumbashi,Haut-Katanga,Congo (Kinshasa),1786397,23284
Benin City,Edo,Nigeria,1780000,82789
Curitiba,Parana,Brazil,1773718,94664
San Jose,California,United States,1771563,71389
Shuyangzha,Jiangsu,China,1770000,19435
Adana,Adana,Turkey,1765981,64340
Quito,Pichincha,Ecuador,1763275,54078
Agra,Uttar Pradesh,India,1760285,88832
Peyanvilai,Tamil Nadu,India,1750176,61293
Lusaka,Lusaka,Zambia,1747152,88781
Indianapolis,Indiana,United States,1740984,70403
Hyderabad City,Sindh,Pakistan,1732693,39124
Pimpri-Chinchwad,Maharashtra,India,1729320,53919
Maracay,Aragua,Venezuela,1723236,45247
Masqat,Masqat,Oman,1720000,72752
Montevideo,Montevideo,Uruguay,1719453,66573
Pittsburgh,Pennsylvania,United States,1712828,69101
Cincinnati,Ohio,United States,1704916,36646
Manhattan,New York,United States,1694263,33049
Kansas City,Missouri,United States,1686807,89605
Budapest,Budapest,Hungary,1686222,78385
Patna,Bihar,India,1684222,50158
Kampala,Kampala,Uganda,1680600,75417
Beihai,Guangxi,China,1680000,33289
Sanzhou,Chongqing,China,1680000,19823
Cleveland,Ohio,United States,1679247,70160
Conakry,Conakry,Guinea,1667864,51975
Ximeicun,Fujian,China,1663542,19540
Caloocan City,Caloocan,Philippines,1661584,26364
Ecatepec,Mexico,Mexico,1655015,14611
Yushan,Jiangsu,China,1652159,37663
Fuxin,Liaoning,China,1647280,61991
Novosibirsk,Novosibirskaya Oblast,Russia,1633851,67679
Bilaspur,Chhattisgarh,India,1625502,40977
Semarang,Jawa Tengah,Indonesia,1621384,59115
Jingdezhen,Jiangxi,China,1618979,98223
Ludhiana,Punjab,India,1618879,70890
Liaoyang,Liaoning,China,1604580,76387
Jiangyin,Jiangsu,China,1595138,28071
Valencia,Valencia,Spain,1595000,69275
Shuozhou,Shanxi,China,1593444,82369
Leon de los Aldama,Guanajuato,Mexico,1579803,21938
Columbus,Ohio,United States,1578153,45195
Puebla,Puebla,Mexico,1576259,14000
Bien Hoa,ong Nai,Vietnam,1575000,80588
Chengtangcun,Shandong,China,1574648,48304
Yopougon,Abidjan,Côte d’Ivoire,1571065,79449
Hebi,Henan,China,1565973,92986
Shiraz,Fars,Iran,1565572,99643
Dushanbe,Dushanbe,Tajikistan,1564700,30764
Madurai,Tamil Nadu,India,1561129,96027
Huzhou,Zhejiang,China,1558826,48494
Harare,Harare,Zimbabwe,1558823,13373
Tabriz,Azarbayjan-e Sharqi,Iran,1558693,22161
Jamshedpur,Jharkhand,India,1558000,37350
Baicheng,Jilin,China,1551378,35351
San Jose,San Jose,Costa Rica,1543000,98668
Shaoyang,Jiangsu,China,1542600,25305
San Salvador,San Salvador,El Salvador,1538525,85353
Palembang,Sumatera Selatan,Indonesia,1535952,86797
Kawasaki,Kanagawa,Japan,1531646,75953
Kobe,Hyogo,Japan,1521707,67458
Jiaxing,Zhejiang,China,1518654,30358
Zhangjiajie,Hunan,China,1517027,13267
Baiyin,Gansu,China,1512110,92745
Guiping,Guangxi,China,1511011,99588
Changshu,Jiangsu,China,1510100,48513
Jixi,Heilongjiang,China,1502060,36092
Xushan,Zhejiang,China,1502000,21338
Lome,Maritime,Togo,1500000,10412
Niamey,Niamey,Niger,1496260,17543
Gwangju,Gwangju,"Korea, South",1490092,43496
Recife,Pernambuco,Brazil,1488920,70692
Nasik,Maharashtra,India,1486053,99084
Abu Dhabi,Abu Zaby,United Arab Emirates,1483000,54425
Onitsha,Anambra,Nigeria,1483000,48756
Amsterdam,Noord-Holland,Netherlands,1477213,28888
Vijayawada,Andhra Pradesh,India,1476931,45735
Zapopan,Jalisco,Mexico,1476491,57295
Daejeon,Daejeon,"Korea, South",1475221,93042
Bronx,New York,United States,1472654,95999
Auckland,Auckland,New Zealand,1470100,27955
Yekaterinburg,Sverdlovskaya Oblast,Russia,1468833,47841
Wuwei,Gansu,China,1464955,80640
Jinhua,Zhejiang,China,1463990,75510
Kyoto,Kyoto,Japan,1463723,44911
Pizhou,Jiangsu,China,1458038,69031
Yangshe,Jiangsu,China,1447600,98726
Dakar,Dakar,Senegal,1438725,17357
Charlotte,North Carolina,United States,1436613,42479
Yucheng,Sichuan,China,1434603,71476
Kayseri,Kayseri,Turkey,1434357,54811
Virginia Beach,Virginia,United States,1431821,46208
Rui'an,Zhejiang,China,1424667,30150
Muscat,Masqat,Oman,1421409,81180
Kharkiv,Kharkivska Oblast,Ukraine,1421125,53286
Pointe-Noire,Pointe-Noire,Congo (Brazzaville),1420612,78450
Medina,Al Madinah al Munawwarah,Saudi Arabia,1411599,31352
Sangereng,Jawa Barat,Indonesia,1404785,65069
Faridabad,Haryana,India,1404653,24397
Sofia,Sofia-Grad,Bulgaria,1404116,51555
Ulaanbaatar,Ulaanbaatar,Mongolia,1396288,56959
Adelaide,South Australia,Australia,1387290,10728
Prague,Praha,Czechia,1384732,60517
Wenling,Zhejiang,China,1366794,76234
Copenhagen,Hovedstaden,Denmark,1366301,49954
Najafgarh,Delhi,India,1365152,57280
Lianjiang,Guangdong,China,1363470,89459
Helsinki,Uusimaa,Finland,1360075,26779
Samsun,Samsun,Turkey,1356079,73932
Milan,Lombardy,Italy,1354196,82936
Antalya,Antalya,Turkey,1344000,34466
Santiago,Cibao Norte,Dominican Republic,1343423,46939
Chizhou,Anhui,China,1342764,79896
Makassar,Sulawesi Selatan,Indonesia,1338663,45270
Porto Alegre,Rio Grande do Sul,Brazil,1332845,69163
Huangshan,Anhui,China,1330565,92637
Gaozhou,Guangdong,China,1328657,61934
Barranquilla,Atlantico,Colombia,1326588,74895
Al Basrah,Al Basrah,Iraq,1326564,42307
Benxi,Liaoning,China,1326018,64098
Saitama,Saitama,Japan,1325843,70921
Ahvaz,Khuzestan,Iran,1325000,15486
Guarulhos,Sao Paulo,Brazil,1324781,18335
Leizhou,Guangdong,China,1321091,96900
Juarez,Chihuahua,Mexico,1321004,99112
Mandalay,Mandalay,Burma,1319452,21130
Yangquan,Shanxi,China,1318505,97508
Fuqing,Fujian,China,1316000,70566
Xintai,Shandong,China,1315942,76703
Wusong,Anhui,China,1311726,37192
Tongling,Anhui,China,1311726,11062
Calgary,Alberta,Canada,1306784,94076
Meerut,Uttar Pradesh,India,1305429,99780
Jacksonville,Florida,United States,1303156,31545
Kuaidamao,Jilin,China,1302778,31689
Huazhou,Guangdong,China,1291668,21174
Milwaukee,Wisconsin,United States,1290221,98461
Wuzhong,Ningxia,China,1284000,19348
Belem,Para,Brazil,1280614,33714
Cacuaco,Luanda,Angola,1279488,48102
Rosario,Santa Fe,Argentina,1276000,84460
Tangier,Tanger-Tetouan-Al Hoceima,Morocco,1275428,99930
Antananarivo,Antananarivo,Madagascar,1275207,16801
Canagatan,Cagayan,Philippines,1273219,82267
Soweto,Gauteng,South Africa,1271628,58136
Providence,Rhode Island,United States,1270529,33625
Xiantao,Hubei,China,1268715,92873
Jabalpur,Madhya Pradesh,India,1267564,82592
Huaiyin,Jiangsu,China,1264000,87052
Yutan,Hunan,China,1263332,54261
Kazan,Tatarstan,Russia,1259173,11542
Bagam,Kepulauan Riau,Indonesia,1256610,31677
Dayan,Yunnan,China,1253878,56732
Comayaguela,Francisco Morazan,Honduras,1250000,60343
Brussels,Brussels-Capital Region,Belgium,1249597,49081
Laiwu,Shandong,China,1248636,72856
Huazhou,Henan,China,1247807,98858
Sharjah,Ash Shariqah,United Arab Emirates,1247749,29065
Kalyan,Maharashtra,India,1246381,93460
Rucheng,Jiangsu,China,1241700,98092
Barquisimeto,Lara,Venezuela,1240714,64693
Yongcheng,Henan,China,1240382,36962
Sumedang,Jawa Barat,Indonesia,1240000,38295
Can Tho,Can Tho,Vietnam,1237300,23807
Suwon,Gyeonggi,"Korea, South",1234300,52348
Yiwu,Zhejiang,China,1234015,36432
Vasai-Virar,Maharashtra,India,1221233,93285
Campinas,Sao Paulo,Brazil,1213792,67854
Dadukou,Sichuan,China,1212203,50262
Lingcheng,Guangxi,China,1211637,47080
Shuangyashan,Heilongjiang,China,1208803,11324
